name,red,green,blue,alpha,id
CeilingHang,1,155,211,255,1
Kallax_2x1,7,106,60,255,7
WaterSprinklerPipe_CornerRight,9,118,90,255,9
WaterSprinklerPipe_3x,1,155,211,255,1
MetalShelf_Open_WithProps,7,106,60,255,7
Cell_Bed,9,118,90,255,9
Painting_Large_B,2,222,110,255,2
Ceiling_10x10,1,155,211,255,1
Ceiling_5x10,1,155,211,255,1
Couch_2seat,8,179,10,255,8
Painting_Wide_A,9,118,90,255,9
Cell_Sink,9,118,90,255,9
Ceiling_6x12,1,155,211,255,1
Lamp_Fluorescent_B,1,155,211,255,1
CeilingHang01,9,118,90,255,9
Books2_6,12,60,146,255,12
Riggad,9,118,90,255,9
Kallax_Box3,7,106,60,255,7
MetalShelf_Open,7,106,60,255,7
WindowBlinds_A,2,222,110,255,2
PaintingSet_A,9,118,90,255,9
Painting_E,2,222,110,255,2
Floor_10x10,0,171,143,255,0
Floor_5x10,0,171,143,255,0
Sign_Hanging,9,118,90,255,9
Dresser_B,7,106,60,255,7
Painting_C,9,118,90,255,9
TableScreen_A,2,222,110,255,2
LCD_ScreenSOLO_2,3,69,227,255,3
Lamp_Fluorescent_B_Hang,1,155,211,255,1
Hand_Paper,9,118,90,255,9
Floor_6x12,0,171,143,255,0
Trashcan_Metal,9,118,90,255,9
ExitWay_Lamp,9,118,90,255,9
TableSet_Water,9,118,90,255,9
Table_Meeting,5,81,38,255,5
Floor_12x12,0,171,143,255,0
Ceiling_12x12,1,155,211,255,1
Carpet_Tile,0,171,143,255,0
Carpet_End,0,171,143,255,0
W_6x_Window_Large_A,2,222,110,255,2
LCD_Screen_1,3,69,227,255,3
Floor_12x1,0,171,143,255,0
W_6x_DoorDouble,2,222,110,255,2
Couch_3seat,8,179,10,255,8
Cylinder,2,222,110,255,2
Lamp_Spot,2,222,110,255,2
Lamp_SpotBulb,2,222,110,255,2
Cell_Shelf,7,106,60,255,7
Toilet,6,229,176,255,6
Ceiling_6x9,1,155,211,255,1
Cube_(2),0,171,143,255,0
Sink3x,5,81,38,255,5
Urinal_Partition,2,222,110,255,2
Toilet_Partition_End,2,222,110,255,2
Bathroom,255,255,255,255,255
Mirror,2,222,110,255,2
Urinal,17,245,162,255,17
Toilet_Door,4,218,221,255,4
Toilet_Partition_Tile,2,222,110,255,2
Door_Bronze_Metal,4,218,221,255,4
Recessed,1,155,211,255,1
Orange,10,138,80,255,10
Cherry,10,138,80,255,10
Apple,10,138,80,255,10
Strawberry_2,10,138,80,255,10
Banana,10,138,80,255,10
Missing,255,255,255,255,20
